iter	Logloss
0	0.5815100744
200	0.07853644159
400	0.06694880083
600	0.05995977935
800	0.05471712677
1000	0.05072341633
1200	0.04714267843
1400	0.04388362864
1600	0.0410286335
1800	0.0386042688
2000	0.03619477701
2200	0.03411919684
2400	0.0321336769
2600	0.03031326349
